keys,en,ru,zh_CN
TR_MOVE_WITH_MOUSE,Move with Follow,Движение при следовании,同时跟随移动
TR_MOVE_WITH_MOUSE_TOOLTIP,"Animate to Follow Movement must be enabled for this feature to work. When disabled, the sprite stops moving on the X and Y axes, but Animate to Mouse still works.","Для работы этой функции нужно включить «Анимацию следования». При отключении спрайт перестаёт двигаться по осям X и Y, но анимация по мыши продолжает работать.",必须启用动画跟随才能使此功能在关闭时工作，它会阻止角色在x和y轴上移动，但会保持动画跟随鼠标而移动的工作状态。
TR_MULTISTATE_EDITING_CUE_LABEL,*Multi-State Editing On,*Множественное редактирование включено,*多状态编辑
TR_NAME,Name,Имя,名称
TR_NEVER_RESET,Never Reset,Никогда не сбрасывать,从不重置
TR_NEVER_RESET_TOOLTIP,Never resets the animation,Никогда не сбрасывает анимацию,从不重置动画
TR_NEW,New,Новый,新建
TR_NEW_FILE,New File,Новый файл,新文件
TR_NEW_PNGTUBER_TEXT,Do you want to make a new PNGTuber model?,Создать новую PNGTuber‑модель?,你想制作一个新的PNGTuber模型吗？
TR_NO,No,Нет,否
TR_NOISE,Noise,Шум,噪声
TR_NOISE_SCALE,Noise Scale,Масштаб шума,噪声缩放
TR_NOISE_SPEED,Noise Speed,Скорость шума,噪声速度
TR_NONE,None,Нет,无
TR_NONE_ANIMATED_SHEET,Non-Animated Sheet,Статичный спрайт-лист,非动画工作表
TR_NONE_ANIMATED_SHEET_TOOLTIP,Turns a sprite sheet into static frames you can choose from,Преобразует спрайт-лист в набор статичных кадров,将精灵表转换为可供选择的静态帧。
TR_NORMAL_MAP,Normal Map,Карта нормалей,法线贴图
TR_NORMAL_MAP_DEMO,Normal Map Demo,Карты нормалей,法线贴图演示
TR_OFFSETS_IMPORTED_SPRITES_WHEN_TRIM,Offsets imported Sprites when trimming is enabled,Смещения импортированных спрайтов при включенной обрезке,启用裁剪时对导入的精灵应用偏移
TR_OFFSET_IMPORTED_SPRITE,Offset Imported Sprite,Смещение импортированного спрайта,偏移导入的精灵
TR_OFFSET_X,Offset X,Смещение X,偏移-X
TR_OFFSET_Y,Offset Y,Смещение Y,偏移-Y
TR_OPEN,Open,Открыть,张开
TR_OPEN_FILE,Open a File,Открыть файл,打开文件
TR_OPEN_FILES,Open Files,Открыть файлы,打开文件
TR_OPEN_MODEL,Open Model,Открыть модель,打开模型
TR_OPEN_SEE_FACE,OpenSeeFace,OpenSeeFace,OpenSeeFace
TR_OPEN_SETTINGS,Open Settings,Открыть настройки,打开设置
TR_OPTIMIZE,Optimize,Оптимизировать,优化
TR_OPTIMIZE_TRIM,Trim Model,Обрезать модель,裁剪模型
TR_ORANGE,Orange,Оранжевый,橙色
TR_OTHERS,Others,Другое,其他
TR_OUTER_PADDING,Outer Padding,Внешний отступ,外间距
TR_OUTLINE,Outline,Обводка,外轮廓
TR_PARENT_ID_LABEL,Parent ID,ID родителя,父级ID
TR_PAUSE_MOVEMENT,Pause Movement,Остановить движение,暂停运动
TR_PAUSE_MOVEMENT_TOOLTIP,Turns your model Static.\nUncheck to preview your model's movement.\nThis automatically gets unchecked when changing modes.,"Делает модель статичной.\nСними галочку, чтобы увидеть движение модели.\nФлаг автоматически сбрасывается при смене режима.",将模型设置为静态。\n单击此处可预览模型的运动。\n更改模式时，此选项会自动取消选中。
TR_PAUSE_MOVEMENT_TOOLTIP_MOVEMENT_SECTION,Pauses movement if the value of that parameter is zero,"Останавливает движение, если значение параметра равно нулю",若该参数的值等于零，则暂停移动。
TR_PHONEMES,Phonemes,Фонемы,音素
TR_PHYSICS,Enable Physics,Включить физику,启用物理
TR_PHYSICS_EFFECT_X,Physics Effect X,Физический эффект X,物理效果 X
TR_PHYSICS_EFFECT_Y,Physics Effect Y,Физический эффект Y,物理效果 Y
TR_PHYSICS_STEPS,Physics Steps,Шаги физики,物理步长
TR_PHYSICS_TICK,Physics Tick,Такты физики,物理节拍
TR_PHYS_STIFFNESS_LABEL,Phys-Stiff,Жёсткость физики,物理刚度
TR_PHYS_STIFFNESS_TOOLTIP,Physics/Reaction to parent's movement stiffness,Жёсткость реакции на движение родителя,对父节点物理/反应的运动刚度。
TR_PLEASE_CONFIRM,Please Confirm…,"Пожалуйста, подтвердите…",请确认...
TR_PORT,Port,Порт,端口
TR_POSITION_SNAP_BUTTON,Position Snap,Привязка позиции,位置吸附
TR_POSITION_SNAP_BUTTON_TOOLTIP,Snaps the position to the last movement position,Привязывает позицию к последней точке движения,将“位置”吸附到最后一个移动位置。
TR_POSITION_TRACKING_STRENGTH,Position Tracking Strength,Сила отслеживания позиции,位置追踪强度
TR_POS_X,Position X,Позиция X,位置-X
TR_POS_Y,Position Y,Позиция Y,位置-Y
TR_PREVIEW,Preview,Предпросмотр,预览模式
TR_PREVIEW_MODE_TOOLTIP,Makes the model static.\nUncheck to preview movement.\nThis is automatically unchecked when changing modes.,"Делает модель статичной.\nСними флажок, чтобы посмотреть движение.\nФлажок автоматически снимается при смене режима.",将模型设置为静态。\n单击此处可预览模型的运动。\n更改模式时，此选项会自动取消选中。
TR_PROJECT_SAVED,Project Saved,Проект сохранён,工程已保存
TR_PROPERTIES_HIDDEN_ITEM,"If enabled, the current object is hidden outside the editor","Если включено, текущий объект скрывается вне редактора",启用后，当前对象在编辑器外部隐藏
TR_PROTANOPIA,Protanopia,Протанопия,红色盲
TR_PSD_IMPORT,Import PSD,Импортировать PSD,导入PSD
TR_PURPLE,Purple,Фиолетовый,紫色
TR_QUIT,Quit,Выйти,退出
TR_RADIAL_SPACING,Radial Spacing,Радиальное расстояние,放射间距
TR_RAINBOW,Rainbow,Радуга,彩虹
TR_RAINBOW_EFFECT,Rainbow Effect,Радужный эффект,彩虹效果
TR_RANGE_X_MAX,Range X Max,Диапазон X Макс,范围 X 最大值
TR_RANGE_X_MIN,Range X Min,Диапазон X Мин,范围 X 最小值
TR_RANGE_Y_MAX,Range Y Max,Диапазон Y Макс,范围 Y 最大值
TR_RANGE_Y_MIN,Range Y Min,Диапазон Y Мин,范围 Y 最小值
TR_REACTION,Reaction,Реакция,反应
TR_RECOLOR_LAYER,Recolor Layer,Перекрасить слой,图层重新着色
TR_RED,Red,Красный,红色
TR_REMAP,Remap,Переназначить,重新绑定
TR_REMAP_KEY,Remap Key,Переназначить клавишу,重新绑键
TR_REMAP_STATE_HOTKEYS,Remap State Hot Keys,Переназначить горячие клавиши состояний,重绑状态热键
TR_REMOVE_CUSTOM_COURSOR,Remove Custom Cursor,Убрать свой курсор,移除自定义光标
TR_REMOVE_CUSTOM_COURSOR_TOOLTIP,Remove the custom cursor image and use the default cursor,Удалить изображение курсора и использовать курсор по умолчанию,移除自定义光标图片，并使用默认光标
TR_RESET_ANIMATION,Reset Animation,Сбросить анимацию,资源切换时重置动画
TR_RESET_ANIMATION_TOOLTIP,Resets animation on changing the current State.,Сбрасывает анимацию при смене текущего состояния.,切换当前资源时重置动画。
TR_RESET_DEFORM_POINT,Reset Deform Point,Сброс точки деформации,重置形变点
TR_RESET_ON_STATE_CHANGE,Reset on State Change,Сбрасывать при смене состояния,状态更改时重置
TR_RESET_ON_STATE_CHANGE_TOOLTIP,"Resets the animation of APNG, GIF, or sprite sheet when changing states","Сбрасывает анимацию APNG, GIF или спрайт-листа при смене состояния",更改状态时重置 APNG、GIF或SpriteSheet 的动画。
TR_RESIZE,Resize,Изменить размер,调整大小
TR_RESTORE_BRUSH,Restore Brush,Восстанавливающая кисть,还原笔刷
TR_REST_BOTH,Rest Both,Покой обоих,休眠两者
TR_REST_FOLLOW,Rest Follow Movement,Режим покоя для слежения,休眠跟随运动
TR_REST_MODE,Rest Mode,Режим покоя,运动休眠模式
TR_REST_MODE_TOOLTIP,"Rests or disables movement types. Rest means the feature stops when invisible, while disable turns it off completely.\nThis can improve performance, especially for heavier models that do not use a specific movement type.","Приостанавливает или отключает типы движения. Покой останавливает функцию, когда объект невидим, а отключение выключает её полностью.\nЭто помогает производительности, особенно у тяжёлых моделей, которым не нужен конкретный тип движения.",休眠/禁用运动类型。\n休眠意味着在列表中不可见或父精灵隐藏时，该功能将不起作用\n（如果你使用资源热键进行隐藏，而在列表中仍是可见的，那么该精灵不会休眠）。\n禁用则代表完全禁用该功能，即使在可见时也是如此。\n这可能有助于提高性能，特别是对于不使用特定运动类型的大型模型。
TR_REST_MOVE,Rest Movement,Режим покоя для движения,休眠运动
TR_RIGHT_EYE,Right eye,Правый глаз,右眼
TR_RING_GRID,Ring Grid,Кольцевая сетка,环形网格
TR_ROLL_SIZE,Roll Size,Размер вращения,滚动尺寸
TR_ROLL_SPEED,Roll Speed,Скорость вращения,滚动速度
TR_ROTATE_SPRITE_IMAGE_TOOLTIP,Rotate the sprite image by 90°.\nNote: this resets appendage dimensions.,Повернуть изображение спрайта на 90°.\nПримечание: это сбрасывает размеры придатка.,将精灵图像旋转 90°。\n注意：这会重置摆动附件的尺寸。
TR_ROTATION,Rotation,Поворот,旋转
TR_ROTATION_CCW_BRUSH,Rotation CCW Brush,Вращение кисти против часовой стрелки,逆时针旋转笔刷
TR_ROTATION_CW_BRUSH,Rotation CW Brush,Вращение кисти по часовой стрелке,顺时针旋转笔刷
TR_ROT_DEGREE,Rot-Degree,Градус поворота,旋转角度
TR_ROT_FREQUENCY,Rot-Freq,Частота поворота,旋转频率
TR_ROT_MAX_ROT,Max-Rot,Макс поворот,最大旋转
TR_ROT_MIN_ROT,Min-Rot,Мин поворот,最小旋转
TR_ROT_SNAP_BUTTON_TOOLTIP,Snaps the rotation to the last movement position,Привязывает вращение к последней точке движения,将“旋转”吸附到最后一个移动位置。
TR_ROT_SPEED,Rot-Speed,Скорость поворота,旋转速度
TR_ROT_THRESH,Rot-Threshold,Порог вращения,旋转阈值
TR_SAVE,Save,Сохранить,保存
TR_SAVE_AS,Save As…,Сохранить как…,另存为
TR_SAVE_LIPSYNC_FILE,Save Lip Sync File,Сохранить файл синхронизации губ,保存口型同步文件
TR_SAVE_ON_EXIT,Save on Exit,Сохранять при выходе,退出时保存
TR_SAVE_ON_EXIT_NOTE,(Helps remember toggled assets),(Помогает запомнить включённые ресурсы),(帮助记住切换的资源)
TR_SAVE_RELOAD,Quick Save and Reload,Сохранить и перезагрузиться,快速保存与重载
TR_SAVE_SETTINGS,Save Settings,Сохранить настройки,保存设置
TR_SAVE_UNUSED_FILES,Save Unused Files,Сохранить неиспользуемые файлы,保存未使用的文件
TR_SAVE_WARNING,Did you make sure to save?,Ты точно сохранил(а) изменения?,你确定已经保存了吗？
TR_SAVE_WARNING_FULL,"If you clicked quit without making sure your work is saved, you will lose your progress.","Если нажать «Выйти», не убедившись, что работа сохранена, прогресс будет утерян.",如果您在未确保工作已保存的情况下单击了“退出”，您将失去进度。
TR_SAVE_WINDOW_POSITIONS,"Save Window State (position, size, etc.)","Сохранять состояние окна (позицию, размер и т.п.)",保存窗口(位置、大小等)
TR_INVERT_SCALE_X,Invert Scale X,Инвертировать масштаб X,反转缩放 X
TR_INVERT_SCALE_Y,Invert Scale Y,Инвертировать масштаб Y,反转缩放 Y
TR_SCALE_X_MAX,Scale X Max,Масштаб X Макс,缩放 X 最大值
TR_SCALE_X_MIN,Scale X Min,Масштаб X Мин,缩放 X 最小值
TR_SCALE_Y_MAX,Scale Y Max,Масштаб Y Макс,缩放 Y 最大值
TR_SCALE_Y_MIN,Scale Y Min,Масштаб Y Мин,缩放 Y 最小值
TR_SCL_SNAP_BUTTON_TOOLTIP,Snaps the scale to the last movement position,Привязывает масштаб к последней точке движения,将“缩放”吸附到最后一个移动位置。
TR_SCREAMING,Screaming (Coming Soon),Крик (скоро),尖叫（即将推出）
TR_SCREEN_CRT,Screen CRT,Эффект CRT,CRT 屏幕
TR_SEGMENTS_LABEL,Segments,Сегменты,分段数
TR_SELECT_CUSTOM_COURSOR,Select Custom Cursor,Выбрать свой курсор,选择自定义光标
TR_SELECT_CUSTOM_COURSOR_TOOLTIP,Select a custom image for the cursor.\nThe image must be smaller than 256x256.\nImages larger than 128x128 may cause rendering issues.,Выберите собственное изображение для курсора\nРазмер изображения не должен превышать 256x256\nРазмер более 128x128 может вызвать проблемы с отображением → Выберите изображение для курсора.\nРазмер не должен превышать 256x256.\nРазмеры больше 128x128 могут вызвать проблемы с отображением.,为光标选择一张自定义图片。\n图片必须小于 256x256。\n大于 128x128 的图片可能导致渲染问题。
TR_SETTINGS,Settings,Настройки,设置
TR_SETTINGS_POPUP_IMPORT_TRIM,Automatically crop away any empty space surrounding an image when the image is opened,Автоматически обрезать пустое пространство вокруг изображения при его открытии,打开图像时，自动裁剪掉图像周围的任何空白区域
TR_SETTINGS_POPUP_OUT_OF_BOUNDS_TOOLTIP,"If a screen is selected and the cursor leaves it, mouse tracking stops","Если выбран экран и курсор выходит за его пределы, отслеживание мыши прекращается",若已选定某个屏幕，当光标离开该屏幕时，鼠标跟踪将停止
TR_SETUP,Setup,Настройка,配置
TR_SHARED_MOVEMENT_BUTTON,Use Different Values When Mouth Is Open,Отдельные значения при открытом рте,嘴巴张开时使用不同的值
TR_SHARED_MOVEMENT_TOOLTIP,Uses different movement values while the mouth is open.,Использует отдельные значения движения при открытом рте.,自动旋转精灵。速度可以从旋转速度更改。
TR_SHORTCUTS_FULL,"* Mouse Controls\n- Rotation : Ctrl+MouseWheel (Up, Down)\n- Camera Zoom : MouseWheel (Up, Down)\n- Camera Drag : MouseWheel (Pressed)\n\n*Keyboard Controls \n- Moving Sprite : \n> Ctrl+W (Up)\n> Ctrl+S (Down)\n> Ctrl+A (Left)\n> Ctrl+D (Right)\n\n- Moving Offset : \n> Arrow-Up (Up)\n> Arrow-Down (Down)\n> Arrow-Left (Left)\n> Arrow-Right (Right)\n\n- Quick Save : Ctrl+S\n- Quick Deselect : Alt+D\n- Quick Window Centering : Ctrl+Kp -",* Управление мышью\n- Поворот: Ctrl + колёсико (вверх/вниз)\n- Зум камеры: колёсико (вверх/вниз)\n- Перетаскивание камеры: нажатое колёсико\n\n* Клавиатура\n- Перемещение спрайта:\n> Ctrl+W (вверх)\n> Ctrl+S (вниз)\n> Ctrl+A (влево)\n> Ctrl+D (вправо)\n\n- Смещение:\n> Стрелка вверх\n> Стрелка вниз\n> Стрелка влево\n> Стрелка вправо\n\n- Быстрое сохранение: Ctrl+S\n- Быстро снять выделение: Alt+D\n- Быстрая центровка окна: Ctrl+цифровой -,* 鼠标控制\n- 旋转 : Ctrl+鼠标滚轮 (上下)\n- 相机缩放 : 鼠标滚轮 (上下)\n- 相机拖动 : 鼠标滚轮 (按下)\n\n*键盘控制 \n- 移动精灵 : \n> Ctrl+W (上)\n> Ctrl+S (下)\n> Ctrl+A (左)\n> Ctrl+D (右)\n\n- 调整偏移 : \n> Arrow-Up (上)\n> Arrow-Down (下)\n> Arrow-Left (左)\n> Arrow-Right (右)\n\n- 快速保存 : Ctrl+S\n- 快速取消选择: Alt+D\n-  快速窗口居中 : Ctrl+ Kp -
TR_SHOULD_BLINK,Should Blink,Моргать,在眨眼时显示
TR_SHOULD_DISAPPEAR_TOOLTIP,Keys that hide the sprite when toggled,"Клавиши, скрывающие спрайт при включении",按下会使精灵消失的按键。
TR_SHOULD_DISSAPPEAR_LIST_TOOLTIP,List of keys that hide the selected asset.\n(Keys must match another asset's key),"Список клавиш (должны совпадать с клавишами другого ресурса), при которых выбранный ресурс исчезает.",使选定资源消失的按键列表（必须与另一个资源按键对应）。
TR_SHOULD_DIS_LABEL,List of hide keys.\n(Key must match an existing asset),Список клавиш скрытия.\n(Клавиша должна соответствовать существующему ресурсу),消失按键表.\n(按键必须与现有资源对应)
TR_SHOULD_TALK,Should Talk,Говорить,在说话时显示
TR_SHOW_UI,Show UI,Отображать интерфейс,显示 UI
TR_SHOW_WEB,Show Web,Показать веб-страницу,显示Web
TR_SINE,Sine,Синус,正弦
TR_SINE_AMP,Sine Amp,Амплитуда синусоиды,正弦幅度
TR_SINE_SPEED,Sine Speed,Скорость синусоиды,正弦速度
TR_SIZE_X,Size X,Размер X,大小-X
TR_SIZE_Y,Size Y,Размер Y,大小-Y
TR_SMOOTH_ITERATIONS,Smoothing Iterations,Итерации сглаживания,平滑迭代次数
TR_SNAP_DRAG,Drag Snap,Привязка перетаскивания,拖动吸附
TR_SNAP_OUT_OF_BOUNDS,Snap Out of Bounds,Привязка вне зоны действия,脱离屏幕边界不跟踪
TR_SNAP_ROT,Snap Rotation,Привязка вращения,旋转吸附
TR_SNAP_SCL,Snap Scale,Привязка масштаба,缩放吸附
TR_SOCIALS,Socials,Соцсети,Socials
TR_SOFTNESS,Softness,Мягкость,柔软度
TR_SOURCE_CODE,Source Code,Исходный код,Source Code
TR_SPECTRUM,Spectrum,Спектр,频谱
TR_SPRING,Spring,Пружина,弹簧
TR_SPRITES,Sprites,Спрайты,精灵(图层部件)
TR_SPRITE_ID_LABEL,Sprite ID,ID спрайта,精灵ID
TR_SPRITE_VIEW,Sprite View,Просмотр спрайтов,精灵视图
TR_SQUARE_GRID,Square Grid,Квадратная сетка,方形网格
TR_SQUISH_AMOUNT,Squish Amount,Сила сжатия,挤压程度
TR_SQUISH_ON_BLINK,Squish on Blink,Сжатие при моргании,眨眼时挤压
TR_START,Start,Старт,开始
TR_STATE_REMAP,State Remap,Переназначение состояний,状态重新绑定
TR_STATIC_OBJECT,Static Object,Статичный объект,静态对象
TR_STIFFNESS_LABEL,Stiffness,Жёсткость,刚度
TR_STIFFNESS_X,Stiffness X,Жёсткость X,刚度 X
TR_STIFFNESS_Y,Stiffness Y,Жёсткость Y,刚度 Y
TR_STOP,Stop,Стоп,停止
TR_STREAM,Stream,Прямая трансляция,直播
TR_STREAMER_SESSION,Stream Session,Сеанс трансляции,直播会话
TR_STREAMER_WIP,Streamer (WIP),Стример (в разработке),主播 (WIP)
TR_STREAM_SWITCH_SESSION,Switch Session,Переключить сеанс,切换会话
TR_STRENGTH,Strength,Сила,强度
TR_STRETCH,Stretch,Растяжение,拉伸
TR_SUB_DIVISION_LABEL,Sub-Division,Подразбиение,二次细分
TR_SWITCH_SESSION,Which session do you want to switch to?,В какой сеанс перейти?,您想切换到哪种会话类型？
TR_SWITCH_SESSION_FULL,Save the model before switching modes. This opens a separate session.,Перед сменой режима сначала сохрани модель. Откроется отдельный сеанс.,在切换模式之前，请确保先保存您的模型，因为这将带您进入一个完全独立的软件会话。
TR_SYNC_APPENDAGE,Sync Appendage,Синхронизировать придаток,同步摆动附件
TR_SYNC_EFFECT,Sync Effect,Синхронизировать эффект,同步效果
TR_TAB_ANIMATION,Animation,Анимация,动画
TR_TAB_AUDIO,Audio,Аудио,音频
TR_TAB_IMPORT,Import,Импорт,导入
TR_TAB_LIGHT,Light,Свет,灯光
TR_TAB_MODEL,Model,Модель,模型
TR_TAB_MOVEMENT,Movement,Движение,运动
TR_TAB_PROPERTIES,Properties,Свойства,属性
TR_TAB_REMIX,Remix,Ремикс,Remix
TR_TAB_TESTS,Tests,Тесты,测试
TR_TAB_WEBSOCKET,WebSocket,Вебсокет,WebSocket
TR_TAB_WIGGLE,Wiggle,Покачивание,摆动
TR_TARGET_MESH,Target Mesh,Целевая сетка,目标网格
TR_TARGET_STRENGTH,Target Strength,Целевая сила,目标强度
TR_TEST,Test,Тест,测试
TR_TEXT,Text,Текст,文本
TR_TEXTURE_MODE_LABEL,Texture Mode,Режим текстуры,纹理模式
TR_THREADS_TOOLTIP,Use multithreading for actions like saving and loading,Использовать многопоточность для сохранения и загрузки,对保存、加载等操作使用多线程
TR_TILE,Tile,Плитка,瓦片
TR_TINT,Tint,Оттенок,色调
TR_TOGGLE_BORDERS,Toggle Borders,Переключить границы,切换边框显示
TR_TOOLTIP_ADD_APPENDAGE,Add Appendage,Добавить придаток,添加摆动附件
TR_TOOLTIP_ADD_FOLDER,Add Folder,Добавить папку,添加文件夹
TR_TOOLTIP_ADD_IMAGE,Add Image,Добавить изображение,新增图像
TR_TOOLTIP_ADD_NORMAL_MAP,Add Normal Map,Добавить карту нормалей,添加法线贴图
TR_TOOLTIP_ADD_SPRITE,Add Sprite,Добавить спрайт,添加精灵
TR_TOOLTIP_AUTO_ROTATION,Auto-rotates the sprite. Speed can be changed with Rot-Speed,Автоматически вращает спрайт. Скорость задаётся параметром скорости вращения,自动旋转精灵。速度可以从旋转速度更改。
TR_TOOLTIP_DELETE_IMAGE,Delete Image,Удалить изображение,删除图像
TR_TOOLTIP_DELETE_NORMAL_MAP,Delete Normal Map,Удалить карту нормалей,删除法线贴图
TR_TOOLTIP_DELETE_SPRITE,Delete Sprite,Удалить спрайт,删除精灵
TR_TOOLTIP_DUBLICATE,Duplicate,Дублировать,复制
TR_TOOLTIP_DUPLICATE_SPRITE,Duplicate Sprite,Дублировать спрайт,复制精灵
TR_TOOLTIP_MINI_VIEW_ZOOM_RESET,Mini View Zoom Reset,Сброс масштаба мини-вида,迷你视图缩放重置
TR_TOOLTIP_REPLACE_IMAGE,Replace Image,Заменить изображение,替换图像
TR_TOOLTIP_REPLACE_SPRITE,Replace Sprite,Заменить спрайт,替换精灵
TR_TRACKING_BACKEND,Tracking Backend,Система отслеживания,按键捕捉后台
TR_TRACKING_BACKEND_DEFAULT,Default,По умолчанию,默认
TR_TRACKING_BACKEND_UIOHOOK,UIOHook,UIOHook,UIOHook
TR_TRACKING_BACKEND_WINDOWS,Windows,Windows,Windows
TR_TRACKING_BACKEND_X11,x11,x11,x11
TR_TRACK_DEV_MODE,Developer Mode,Режим разработчика,开发者模式
TR_TRACK_USING_GLOBAL_INPUT,Use Global Input for Tracking,Использовать глобальный ввод,使用全局输入进行跟踪
TR_TRACK_USING_GLOBAL_INPUT_TOOLTIP,Enables using the Global Input module to be used for mouse following instead of Godot's Built-in mouse tracking (Debug),Позволяет использовать модуль глобального ввода для отслеживания мыши вместо встроенного отслеживания мыши Godot (отладка),启用后，将使用全局输入模块（而非 Godot 内置的鼠标跟踪）来实现鼠标跟随（调试用）
TR_TRANSPARENT,Transparent,Прозрачный,透明
TR_TRIM_DIALOG_TEXT,Would you like to have your Sprites Trimmed?\n(Removes all unused area around your image),Хотите обрезать спрайты?\n(Удаляет все неиспользуемые области вокруг вашего изображения),"你希望裁剪你的精灵吗？
(移除图像周围所有未使用的区域)"
TR_TRIM_IMPORT,Trim Import,Обрезать при импорте,裁剪输入
TR_TRITANOPIA,Tritanopia,Тританопия,蓝色盲
TR_TRI_GRID,Tri Grid,Треугольная сетка,三角网格
TR_UDP,UDP,,UDP
TR_UDP_ITEM_CHEEK_RAISE_LEFT,Cheek Raise Left,Поднятие левой щеки,左脸颊上提
TR_UDP_ITEM_CHEEK_RAISE_RIGHT,Cheek Raise Right,Поднятие правой щеки,右脸颊上提
TR_UDP_ITEM_EYEBROW_LEFT,Eyebrow Left,Левая бровь,左眉毛
TR_UDP_ITEM_EYEBROW_RIGHT,Eyebrow Right,Правая бровь,右眉毛
TR_UDP_ITEM_EYE_SMILE_LEFT,Left Eye Smile,Прищур левого глаза,左眼微笑
TR_UDP_ITEM_EYE_SMILE_RIGHT,Right Eye Smile,Прищур правого глаза,右眼微笑
TR_UDP_ITEM_HEAD,Head,Голова,头部
TR_UDP_ITEM_NONE,None,Отсутствует,无
TR_UDP_ITEM_PUPIL_LEFT,Pupil Left,Левый зрачок,左瞳孔
TR_UDP_ITEM_PUPIL_RIGHT,Pupil Right,Правый зрачок,右瞳孔
TR_UDP_POSITION,UDP Position,Позиция UDP,UDP 位置
TR_UDP_ROTATION,UDP Rotation,Вращение UDP,UDP 旋转
TR_UDP_SCALE,UDP Scale,Масштаб UDP,UDP 缩放
TR_UI_SCALE_LABEL,UI Scale,Масштаб интерфейса,UI 缩放
TR_UNLINK_BUTTON_TOOLTIP,Unlinks a child Object from Parent Object,Открепляет дочерний объект от родительского,将子对象从父对象上解除链接
TR_UPDATE_MIC_LIST,Update Mic List,Обновить список микрофонов,更新麦克风列表
TR_USE_DELTA_TIME,Use DeltaTime,Использовать DeltaTime,使用增量时间
TR_USE_DELTA_TIME_TOOLTIP,"The movement Ticks uses (Tick + 1 every frame),\nwhich could lead to very strong movements even with low\nmovement values.\nUsing DeltaTime makes it slower ( Tick + 0.016 every frame)\nand more forgiving to use higher values.\nThis needs to be set for every model to prevent sharing issues.","Счётчик движения увеличивается на 1 каждый кадр,\nчто может давать слишком сильное движение даже при малых значениях.\nDeltaTime делает шаг ≈0.016 за кадр и позволяет использовать большие значения.\nЭто нужно указывать для каждой модели, чтобы не было проблем при обмене.",运动计数模式（每帧Tick+1），即使移动值较低，也可能导致非常强烈的移动。\n使用增量时间(DeltaTime)会使速度变慢（每帧Tick+0.016），\n并且更宽容地使用更高的值。\n这需要为每个模型设置，以防止共享问题。
TR_USE_OBJECT_POSITION,Use Object Position,Использовать положение объекта,使用对象位置(作为鼠标跟随移动原点)
TR_USE_THREADS,Use Threads,Использовать потоки,使用多线程
TR_VISIBILITY,Visibility,Видимость,可见性
TR_VISIBLE,Visible,Видимый,可见性
TR_VOLUME,Volume,Громкость,音量
TR_VOLUME_SENSITIVITY,Volume Sensitivity,Чувствительность громкости,音量灵敏度
TR_WAG_FREQ_LABEL,Wag Freq,Частота покачивания,摆动频率
TR_WAG_SPEED_SLIDER,Wag Speed,Скорость покачивания,摆动速度
TR_WARNING_IF_KNOW,DON'T USE UNLESS YOU KNOW WHAT YOU ARE DOING,"ИСПОЛЬЗУЙТЕ ТОЛЬКО ЕСЛИ ВЫ ЗНАЕТЕ, ЧТО ДЕЛАЕТЕ",除非你明确知道自己在做什么，否则请勿使用
TR_WASD,WASD,WASD,WASD
TR_WASD_AD,WASD (A/D),WASD (A/D),WASD (AD)
TR_WASD_WS,WASD (W/S),WASD (W/S),WASD (WS)
TR_WEBSOCKET_DOC,WebSocket Docs,Документация WebSocket,WebSocket 文档
TR_WELCOME,Welcome!,Добро пожаловать!,欢迎！
TR_WHAT_IS_PNG_TUBING_FULL,"PNGTubing is a form of Vtubing. However, unlike Vtubing, it is much simpler and less costly. This is why it gained popularity in recent years. There are some different types of PNGTubing, this includes Static (like the model shown), Toon and Rigged. In this software -PNGTube-Remix, you can create both Static and Rigged! Even mix them up if needed. Hope you have fun!","PNGTubing — разновидность Vtubing, но гораздо проще и дешевле, поэтому он стал так популярен в последние годы. Есть разные виды PNGTubing: статичный (как показано), мультяшный и «риггед». В PNGTube-Remix можно делать и статичные, и риггед‑модели, а при желании смешивать подходы. Удачи и приятного творчества!",PNGTubing是Vtubing的一种形式。然而，与Vtubing不同，它更简单，成本更低。这就是为什么它近年来越来越受欢迎。有一些不同类型的PNGTubing，包括静态（如图所示）、Toon和Rigged。在这个软件-PNGTube Remix中，您可以创建静态和装配！如果需要，甚至把它们混合在一起。希望你玩得开心！
TR_WHITE,White,Светлый,白色
TR_WIDTH,Width,Ширина,宽度
TR_WIGGLE_APPENDAGE,Wiggle Appendage,Покачивание придатка,摆动附件
TR_WIGGLE_PHYSICS,Wiggle Physics,Физика покачивания,摆动物理
TR_WIGGLE_SPRITE,Wiggle Sprite,Покачивание спрайта,摆动精灵
TR_WIGGLE_STRETCH_TO_ANCHOR,Keeps its length when linked to an anchor,Сохраняет свою длину при привязке к якорю,连接到锚点时保持其长度
TR_WINDOW,Window,Окно,窗口
TR_WINDOW_DEFAULT,Reset Window To Default,Сбросить настройки окна,将窗口重置为默认值
TR_WINDOW_SIZE,Window Size,Размер окна,窗口大小
TR_WOBBLE_FREQ_TOOLTIP,Affects wobble and squish,Влияет на покачивание и сжатие,影响摇晃和挤压
TR_WS_SYNC_EFFECT_TOOLTIP,Syncs the wiggle effect of the Sprite with the Parent's Wiggle effect (Both must be Sprite Objects),Синхронизирует эффект покачивания спрайта с родительским (оба должны быть спрайтами),将精灵的摆动效果与父对象的摆动效果同步（两者都必须是精灵对象）
